title,number,page_id,namespace,size_bytes,last_change,item,total_views
Military operations involving Uganda,247,76899452,Category,144,2024-05-18T16:37:40Z,Q125919100,NA
Military ranks of Uganda,192,55907127,(Article),6578,2025-02-27T11:46:21Z,Q48800708,120
Military schools in Uganda,95,30762277,Category,184,2017-09-06T18:10:52Z,Q8631021,NA
Milton Obote,254,78824417,Category,252,2025-01-07T07:32:05Z,Q131741850,206124
Ministers of foreign affairs of Uganda,139,47700088,Category,236,2025-01-07T19:48:35Z,Q7845576,NA
"Ministry of Agriculture, Animal Industry and Fisheries (Uganda)",137,45635294,(Article),9509,2025-04-14T05:51:34Z,Q23581953,4957
Ministry of Defence and Veterans Affairs (Uganda),130,44533145,(Article),15726,2025-07-16T11:56:08Z,Q25203102,5662
Ministry of Disaster Preparedness and Refugees (Uganda),174,51987972,(Article),5985,2025-04-14T05:51:39Z,Q28223344,2393
Ministry of East African Community Affairs (Uganda),172,51984652,(Article),5680,2025-04-14T05:52:02Z,Q28135348,957
Ministry of Education and Sports (Uganda),132,44570915,(Article),12780,2025-04-14T05:52:06Z,Q25203107,8727
Ministry of Energy and Mineral Development (Uganda),58,20496138,(Article),12456,2025-04-14T05:52:09Z,Q6866888,3861
"Ministry of Finance, Planning and Economic Development (Uganda)",53,20376783,(Article),14989,2025-04-20T20:10:03Z,Q17068478,5596
Ministry of Foreign Affairs (Uganda),56,20395862,(Article),10985,2025-06-02T06:37:56Z,Q6867037,4402
"Ministry of Gender, Labour and Social Development (Uganda)",160,51699116,(Article),9199,2025-05-03T14:20:08Z,Q28134986,4881
Ministry of Health (Uganda),153,51082622,(Article),6849,2024-08-27T16:07:59Z,Q28223289,5822
Ministry of ICT and National Guidance,154,51219155,(Article),8495,2025-06-28T15:14:59Z,Q28223294,1995
Ministry of Internal Affairs (Uganda),165,51898363,(Article),4680,2025-06-22T02:37:48Z,Q28223332,5959
Ministry of Justice and Constitutional Affairs (Uganda),167,51928669,(Article),9996,2025-04-14T05:53:26Z,Q28135267,1922
"Ministry of Lands, Housing and Urban Development (Uganda)",166,51926056,(Article),8871,2025-04-14T05:53:02Z,Q28223335,3628
Ministry of Local Government (Uganda),169,51935205,(Article),6117,2025-04-14T05:53:14Z,Q28223341,2848
Ministry of Public Service (Uganda),164,51876035,(Article),5440,2025-04-14T05:53:14Z,Q28452265,2042
"Ministry of Science, Technology and Innovation (Uganda)",175,51993925,(Article),5349,2025-04-14T05:53:31Z,Q28223346,1371
"Ministry of Trade, Industry and Cooperatives (Uganda)",103,36777377,(Article),8958,2025-04-14T05:53:42Z,Q6867594,1955
"National Defence College, Uganda",215,60374244,(Article),9596,2025-06-25T05:10:03Z,Q65087690,780
National Drug Authority,121,43366023,(Article),7803,2025-05-08T00:41:03Z,Q18379455,2994
National Enterprise Corporation,61,20632133,(Article),8732,2025-05-22T16:17:54Z,Q17068858,2512
National Housing and Construction Company,76,22745248,(Article),9450,2025-07-23T01:41:29Z,Q6973428,1093
National Identification and Registration Authority,147,50005206,(Article),6118,2025-04-13T00:54:30Z,Q24908187,13331
National Information Technology Authority-Uganda,181,54068149,(Article),6711,2024-07-02T11:40:32Z,Q30640185,1055
National Water and Sewerage Corporation,78,23229982,(Article),12540,2025-02-20T18:43:41Z,Q6979352,3186
Northern Ugandan Social Action Fund,39,12869822,(Article),4145,2025-07-17T17:12:26Z,Q7059091,232
Office of the Prime Minister of Uganda,173,51986574,Category,44,2016-10-18T18:01:13Z,Q28462320,NA
Official residences in Uganda,135,45532941,Category,185,2020-02-01T17:44:34Z,Q22094605,NA
Operation Observant Compass,219,60632045,(Article),11601,2025-07-29T00:49:21Z,Q39207593,10934
Parliament of Uganda,17,2431478,(Article),15488,2025-07-11T16:18:26Z,Q2052850,42358
Parliament of Uganda,185,54795906,Category,182,2024-02-11T23:13:23Z,Q49648898,42358
Parliamentary elections in Uganda,252,78719380,Category,131,2024-12-25T17:42:36Z,Q131889897,NA
People extradited from Uganda,111,38368704,Category,178,2013-01-30T01:35:36Z,Q7024329,NA
People extradited to Uganda,161,51712109,Category,176,2016-09-23T04:51:53Z,Q28429191,NA
