title,number,page_id,namespace,size_bytes,last_change,item,total_views
Mbale District,186,22724759,Category,97,2024-11-08T21:19:45Z,Q8614409,3957
Mbalwa,708,56592365,(Article),9274,2020-08-10T00:33:48Z,Q48818194,730
Mbarara,45,2407338,(Article),30428,2025-07-09T01:14:43Z,Q731039,24884
Mbarara,180,22720636,Category,227,2024-11-08T21:26:03Z,Q8614417,24884
Mbarara District,179,22720619,Category,99,2024-11-08T21:48:01Z,Q8614419,1469
Mbiriizi,711,57490697,(Article),3161,2022-02-16T20:37:07Z,Q55622580,338
Mbulu Highlands,492,36081892,(Article),3281,2023-03-30T05:02:42Z,Q85784514,889
Mbuya,256,23629951,(Article),5697,2022-06-27T23:15:48Z,Q6799827,2010
Mbuya Military Hospital,604,49807512,(Article),6750,2025-07-15T19:18:59Z,Q23926505,744
Melhania dehnhardtii,777,62317925,(Article),2280,2023-06-29T21:41:40Z,Q17580521,70
"Mengo, Uganda",199,22782217,(Article),8377,2025-03-25T07:58:24Z,Q6817018,10641
Meru National Park,35,1958853,(Article),3821,2022-03-23T12:54:11Z,Q1755551,6856
Midigo,865,72860989,(Article),2605,2024-09-01T19:09:32Z,Q116797321,238
Migingo Island,162,22297262,(Article),16982,2025-04-08T08:55:34Z,Q1568935,69984
Mimulopsis arborescens,143,17303074,(Article),3009,2025-01-30T04:59:31Z,Q16985751,138
Minakulu,381,27068437,(Article),3859,2024-01-10T19:02:55Z,Q6862814,284
Mines in Uganda,526,39986179,Category,112,2019-11-02T04:18:33Z,Q15276829,NA
Minziro Forest Reserve,538,41288274,(Article),4449,2025-06-01T18:06:05Z,Q16895205,771
Mirama Hills,490,35529064,(Article),6686,2022-02-17T22:33:27Z,Q15253534,665
Mirieyi refugee settlement,819,65439989,(Article),1997,2021-10-28T13:58:36Z,Q104859491,125
Mitooma,442,30371207,(Article),7765,2024-05-08T12:00:09Z,Q6699878,604
Mitooma District,441,30370226,Category,99,2024-11-08T21:48:20Z,Q8636418,3138
Mitragyna rubrostipulata,367,26179309,(Article),8181,2025-07-31T00:06:39Z,Q104974124,871
Mitumba Mountains,75,4704652,(Article),4897,2025-05-13T23:19:05Z,Q182061,3547
Mityana,202,22788133,(Article),12710,2025-07-18T08:12:05Z,Q2267729,5386
Mityana District,315,25370665,Category,99,2024-11-08T21:07:36Z,Q8636496,3190
Moroto District,316,25370671,Category,99,2024-11-08T21:31:30Z,Q8641741,2089
Moroto Hospital,384,27549582,(Article),6664,2025-05-21T11:15:07Z,Q6913297,259
Moroto Town,829,65570064,Category,185,2020-10-13T21:42:48Z,Q105284906,4142
Moroto Town,43,2407260,(Article),11920,2024-03-27T06:43:43Z,Q2193389,4142
Mount Baker (Uganda),103,8578740,(Article),4070,2025-05-13T13:18:12Z,Q253593,2283
Mount Elgon,155,20954737,Category,212,2025-06-24T20:30:04Z,Q8643436,33129
Mount Elgon,6,510079,(Article),10449,2025-07-17T17:28:07Z,Q732838,33129
Mount Elgon National Park,93,7355597,(Article),13195,2024-09-26T14:55:13Z,Q1273335,10324
Mount Gahinga,71,4592458,(Article),2823,2024-07-11T11:21:09Z,Q932175,2790
Mount Hanang,468,32309785,(Article),4036,2025-02-02T07:08:12Z,Q8535884,3332
Mount Kadam,91,7042979,(Article),1975,2025-02-02T07:08:09Z,Q3321899,998
Mount Kei Central Forest Reserve,919,74042158,(Article),4442,2025-05-27T05:48:22Z,Q118977205,373
Mount Kenya,4,365927,(Article),79547,2025-07-04T02:49:40Z,Q172070,149755
Mount Kilak,610,50460189,(Article),756,2024-07-12T04:49:38Z,Q25105188,206
Mount Liru,969,79512279,(Article),1379,2025-06-24T21:24:38Z,Q133816351,NA
Mount Longonot,39,2146883,(Article),5411,2025-07-04T02:46:45Z,Q1520750,20702
Mount Meru (Tanzania),24,1372725,(Article),5362,2025-07-04T03:06:01Z,Q309098,47166
Mount Moroto,48,2427616,(Article),4337,2024-11-30T15:44:48Z,Q1422911,2420
Mount Morungole,104,8596047,(Article),1630,2025-02-02T07:08:11Z,Q6922300,1204
Mount Muhabura,70,4582138,(Article),4176,2025-07-26T12:42:07Z,Q543030,5612
Mount Napak,862,72244171,(Article),2701,2025-06-24T21:25:47Z,Q115802568,400
Mount Ng'iro,486,34219105,(Article),4400,2024-07-20T13:20:26Z,Q6922403,918
Mount Otzi Central Forest Reserve,915,74032016,(Article),9396,2023-12-03T22:27:26Z,Q49331415,422
Mount Sabyinyo,111,11697369,(Article),4718,2025-02-24T05:12:06Z,Q511779,5700
