qitem,label,statements,occupation_names,description
Q133522072,Liliane Byarugaba Adriko,12,"secretary, advocate","CEO-FIDA Uganda, Activist"
Q136863308,Pumla Nabachwa,12,"economist, banker",Ugandan Financial literacy coach
Q110897276,Santa Obongonyige,12,educational theorist,"Educationist, community developer"
Q141007060,Angela Sanyu Okullo,11,"pastor, author","Ugandan author, pastor and gospel singer"
Q136734476,Charlene Komuntale,11,multimedia artist,Uganda multi-media artist
Q136822180,Christine Nalubowa,11,director,Ugandan IT professional and management consultant
Q139850523,Esther Nabaasa Mugizi,11,"record producer, songwriter","Ugandan Musician, songwriter, and record producer"
Q118976329,Grace Nanyonga,11,information and communications technology,"Board Member, Digital Literacy Initiative Uganda"
Q119583076,Hanna Kreitem,11,information and communications technology,"Senior Advisor, Internet Technology and development MENA"
Q121745094,Hope Chigudu,11,"sociologist, women's rights activist",Zimbabwean sociologist
Q135652945,Jane Kengeya‑Kayondo,11,gynecologist,Ugandan gynecologist
Q141066846,Joan Mulungi,11,"paralegal, media personality","Ugandan media personality, legal assistant and author"
Q136799319,Josephine Okwera Akullu,11,health professional,health professional in Uganda
Q139851578,Paulina Maniraguha Bangirana,11,police officer,Ugandan author
Q120108225,Sarah Kiguli,11,pediatrician,"Ugandan pediatrician, academic, and medical researcher"
Q132964221,Saudah Namyalo,11,linguist,Ugandan academician
Q138342931,Ssanyu Sematimba,11,"visual artist, head of department",Ugandan-South African visual artist
Q118965168,Annet Tusiime,10,information and communications technology,"Programs Associate, Digital Literacy Initiative Uganda"
Q118976109,Asia Kamukama,10,information and communications technology,"Board Member, Digital Literacy Initiative Uganda"
Q119352676,Atim Nelly,10,economist,"Economist , Kyambogo University"
Q119398157,Audrey Nimusiima,10,auditor,Internal Auditor kyambogo University
Q119440045,Bazirio Nabuto,10,human resource management,Senior Human Resource Officer
Q140964029,Beatrice Byemanzi,10,"pastor, author, coaching","Uganda pastor, author and business coach"
Q140008036,Beatrice Guzu,10,"women's rights activist, disability rights activist",Ugandan disability rights advocate
Q118946582,Brenda Namaata,10,official,Administrator at Internet Society Uganda Chapter
Q116938961,Celestino Mindra,10,"engineer, administrator",Ugandan engineer and sports administrator
Q133460298,Confidence Nkurunungi Asiimwe,10,"school counselor, mental health counselor",University counsellor
Q136856967,Elle Trivia Muhoza,10,beauty pageant contestant,Uganda model and women empowerment advocate
Q133865110,Ginamia Melody Ngwatu,10,high court judge,Acting High Court Judge
Q119397870,Gloria Namutebi,10,technician,Electronics Technician kyambogo University
Q141263597,Hellen Nambalirwa Nkabala,10,education activist,Ugandan education administrator
Q138819593,Hellen Seku,10,secretary,Ugandan commissioner
Q119020368,Hindu Gloria,10,social science,Enthusiastic Sign Language Consultant
Q133865174,Ida Nakiganda,10,high court judge,Acting High Court Judge
Q136673870,Irene Nakasiita,10,"marketing, public relations","Public relations and communications professional, humanitarian"
Q118945508,Joan Katambi,10,information and communications technology,"Team lead at Digital Literacy Initiative, Secretary General Internet Society Uganda Chapter"
Q119585167,Katie Bengaard,10,information and communications technology,"Vice President, Strategy and Impact, Internet Society"
Q131247425,Lucky Bianca Atino,10,"student, information and communications technology, beauty pageant contestant, climate activist",Ugandan beauty queen
Q102274590,Margaret Nabasirye,10,"statistician, agricultural scientist",Ugandan statistician
Q119003515,Marlene Smith,10,information and communications technology,Secretary Internet Society Liberia
Q61950860,Meme Kagga,10,"engineer, film producer",Ugandan Engineer and producer
Q130487008,Moses Mikka Mukasa,10,statistician,Ugandan statistician
Q118974063,Nancy Auma,10,Social Science Research,Business Woman
Q131194560,Nanjobe Hawa Kimbugwe,10,communications manager,Performance poet
Q120644138,Ngabirwe Suzan,10,administrative assistant,"Administrative Assistant, Uganda Medical Association"
Q139801155,Ophelia Akemigisha,10,human rights lawyer,Ugandan Human rights Lawyer
Q118968288,Oreoluwa Lesi,10,information and communications technology,"Board Member, Digital Literacy Initiative Uganda"
Q120643494,Phiona Ayesigamukama,10,communication,"Communication Marketing officer, Uganda Medical Association"
Q120021946,Stellah Nakirijja,10,farm,"Agricultural Expert, Makerere University"
Q136852646,Sydney Nabulya Kavuma,10,beauty pageant contestant,Ugandan Model and Pageant winner
Q119352421,Teddy Tugumisirize,10,registrar,Assistant Registrar Kyambogo University
Q136980682,Violet Nantume,10,"curator, visual artist","curator, visual artist"
Q133888199,Agnes Kasede Napyo,9,senior lecturer,Senior Lecturer of Nursing Science at Kabale University
Q133828730,Aidah Namirengo,9,"bishop, head teacher, cleric","Ugandan bishop, teacher and activist"
Q118765784,Amoli Florence Orem,9,administrateur,"Senior Administrator, Kashilingi Rugaba Associate Law Firm"
Q134061813,Beatrice Byakutaga,9,educator,"A Ugandan writer, author, lecturer and member of Education Service Commission"
Q133889546,Caroline Nabuzale,9,lecturer,Ugandan Academician and Lecturer at Kabale University
Q122181932,Christine Kiconco,9,"archivist, educator, administrator","Ugandan archivist, educator and administrator"
Q133865059,Deepa Verma,9,high court judge,Acting High Court Judge
Q138661137,Diana Balizzamuggale Teyeggala,9,princess,princess of Buganda
Q134269139,Dorothy Nakato,9,lacrosse player,Lacrosse player
Q137604191,Faiza Salima,9,"baker, media personality, presenter","media personality, events host, baker"
Q133865087,Fatuma Nanziri Bwanika,9,high court judge,Acting High Court Judge
Q133865074,Flavia Grace Lamuno,9,high court judge,Acting High Court Judge
Q133889095,Jennifer Turyatemba Tumushabe,9,senior lecturer,A senior lecturer at the Faculty of Agriculture and Environmental Science at Kabale University
Q119992869,Joy Kategekwa,9,,"international trade, investment, and development law, policy specialist and capacity development expert"
Q89918067,Juliet Otiti-Sengeri,9,ophthalmologist,Ungandan ophthalmologist
Q118873635,Laloyo Humble,9,social science,"Child Care Ministry, Watoto Church"
Q135826746,Mabel Katahweire,9,Anglican cleric,Ugandan clergywoman (1944-2007)
Q136786868,Margaret Kulaba Kyemba,9,executive director,Ugandan Executive Director of the Anti-Domestic Violence Coalition (ADVIL)
Q134004184,Maureen Nabatanzi,9,epidemiologist,"A Ugandan epidemiologist, academician and researcher at Makerere University"
Q133857532,Miria Nantume,9,sport cyclist,Ugandan cyclist
Q131105397,Nakitto Rhema,9,television personality,Ugandan TV personality
Q133865025,Sarah Birungi Kalibbala,9,high court judge,Acting High Court Judge
Q136867643,Shamim K Matovu,9,"author, consultant","transformational speaker, leadership coach, corporate culture consultant"
Q136734723,Venny Mary Nakazibwe,9,prorector,Ugandan deputy dean at the faculty of fine arts makerere university
Q130355255,Viola Nuwaha,9,programmer,Scrum Master
Q118765992,Acayo Milly,8,business,Business Entrepreneur
Q133889033,Agnes Ariho Babugura,8,,Ugandan Academician and researcher in the field of environmental science
Q134279360,Alice Okecho,8,beach volleyball player,Beach volleyball player
Q136822969,Amelia Anne Kyambade,8,official,"Ugandan politician, Philanthropist"
Q139807877,Amelia Zalwango Kaggwa,8,"secretary, public relations officer",Ugandan secretary
Q130365331,Angela Mukisa,8,chief executive officer,Founder at CodeHub
Q134269166,Ashar Nantale,8,lacrosse player,Lacrosse player
Q138947704,Barbara Kakande,8,cardiology,Ugandan Cardiologist
Q133889749,Barbra Teddy Arimi,8,marketer,A Ugandan marketer and Communications officer
Q134289440,Betty Mwesigwa,8,infectious disease physician,
Q129094230,Bridget Nabisaalu,8,defender,Ugandan footballer and defender
Q111901504,Catherine Ajiambo,8,"sociologist, museologist",Ugandan sociologist and museologist
Q111096452,Consolata Kabonesa,8,,Ugandan gender activist
