qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q153557,Kakwa people,Kakwa people,11,14225,98.3,ethnic group,1,country_wd
Q23062600,Isaac Nabwana,Nabwana I.G.G.,11,10827,98.3,human,2,birth_death_wd|citizenship_wd
Q2391998,Koboko,Koboko,17,2089,98.2,human settlement,1,country_wd
Q88263719,2020 COVID-19 pandemic in Uganda,COVID-19 pandemic in Uganda,16,2290,98.2,disease outbreak,2,country_wd|keyword_title
Q3270727,Kiga,Kiga language,15,3011,98.2,"language, modern language",1,country_wd
Q895930,nodding disease,Nodding disease,15,2919,98.2,rare disease,1,country_wd
Q2887548,Nile basin,Nile Basin,12,7304,98.2,drainage basin,1,country_wd
Q7877723,cinema of Uganda,Cinema of Uganda,11,8701,98.2,cinema by country or region,2,country_wd|keyword_title
Q82373,Islam in Uganda,Islam in Uganda,11,9764,98.2,Islam of an area,2,country_wd|keyword_title
Q2065351,Paul Sherwen,Paul Sherwen,10,16619,98.2,human,1,birth_death_wd
Q116783438,Uganda at the 2024 Summer Olympics,Uganda at the 2024 Summer Olympics,23,1138,98.1,Olympic delegation,2,country_wd|keyword_title
Q838875,Mount Speke,Mount Speke,17,1629,98.1,mountain,1,country_wd
Q1429741,Semuliki National Park,Semuliki National Park,16,1828,98.1,national park of Uganda,1,country_wd
Q637228,Kalenjin,Kalenjin languages,13,4077,98.1,"language family, language, macrolanguage",1,country_wd
Q1709493,July 2010 Kampala attacks,2010 Kampala bombings,12,4522,98.1,suicide bombing,2,country_wd|keyword_title
Q6486904,languages of Uganda,Languages of Uganda,9,25567,98.1,languages of a country,2,country_wd|keyword_title
Q96758100,Salma Lakhani,Salma Lakhani,9,20463,98.1,human,2,birth_death_wd|citizenship_wd
Q42717997,Victor Kiplangat,Victor Kiplangat,22,1035,98.0,human,2,birth_death_wd|citizenship_wd
Q1186289,1st parallel north,1st parallel north,21,1067,98.0,circle of latitude,1,country_wd
Q1430399,ISO 3166-2:UG,ISO 3166-2:UG,21,1082,98.0,data set of a specific country,1,country_wd
Q2267729,Mityana,Mityana,15,2152,98.0,human settlement,1,country_wd
Q29474,Teso,Teso language,14,2443,98.0,"language, modern language",1,country_wd
Q488982,Nalubaale Hydroelectric Power Station,Nalubaale Hydroelectric Power Station,13,2890,98.0,"dam, hydroelectric power station",1,country_wd
Q1905026,Madi people,Madi people,12,4077,98.0,ethnic group,1,country_wd
Q2795682,Rwenzururu Kingdom,Rwenzururu,11,4816,98.0,"region, realm, historical country",1,country_wd
Q954747,East African Airways,East African Airways,11,4882,98.0,airline,1,country_wd
Q16960307,Allied Democratic Forces insurgency,Allied Democratic Forces insurgency,9,17292,98.0,rebellion,1,country_wd
Q17061030,Jumià,Jumia,9,15391,98.0,"e-commerce, public company, business",1,country_wd
Q87019,Brigitte Kuhlmann,Brigitte Kuhlmann,9,16470,98.0,human,1,birth_death_wd
Q2512714,Marcel Theroux,Marcel Theroux,8,112160,98.0,human,1,birth_death_wd
Q1315903,35th meridian east,35th meridian east,19,1124,97.9,meridian,1,country_wd
Q932175,Mount Gahinga,Mount Gahinga,18,1167,97.9,"volcano, mountain, summit",1,country_wd
Q3528929,Mubende,Mubende,14,2018,97.9,human settlement,1,country_wd
Q799929,Gisu people,Gisu people,11,3965,97.9,"ethnic group, tribe",1,country_wd
Q1723759,Church of Uganda,Church of Uganda,10,6392,97.9,Anglican province,2,country_wd|keyword_title
Q22276503,2016 Ugandan general election,2016 Ugandan general election,10,5188,97.9,Ugandan general election,3,country_wd|keyword_title|part_of_wd
Q5003686,Bwindi Impenetrable Forest,Bwindi Impenetrable Forest,10,6075,97.9,forest,1,country_wd
Q253593,Mount Baker,Mount Baker (Uganda),16,1326,97.8,mountain,2,country_wd|keyword_title
Q35472,Ik,Ik language,14,1813,97.8,"language, modern language",1,country_wd
Q5617915,Gulu Airport,Gulu Airport,13,1997,97.8,"international airport, airport, commercial traffic aerodrome",1,country_wd
Q3272737,Lugbarati,Lugbara language,11,3596,97.8,"language, modern language",1,country_wd
Q35670,Lango,Lango language (Uganda),11,3154,97.8,"language, modern language",2,country_wd|keyword_title
Q29043485,Uganda People's Defence Air Force,Uganda Air Force,8,23500,97.8,air force,2,country_wd|keyword_title
Q1186520,33rd meridian east,33rd meridian east,15,1357,97.7,meridian,1,country_wd
Q2193389,Moroto Town,Moroto Town,14,1467,97.7,human settlement,2,country_wd|keyword_title
Q33794,Nyoro,Nyoro language,14,1459,97.7,"language, modern language",1,country_wd
Q1406553,Lagos–Mombasa Highway,Lagos–Mombasa Highway,13,1897,97.7,"road, highway",1,country_wd
Q3346711,Nyoro people,Nyoro people,13,1743,97.7,ethnic group,1,country_wd
Q38525495,Clare Akamanzi,Claire Akamanzi,13,1736,97.7,human,1,birth_death_wd
Q3196953,Nande,Nande language,12,2192,97.7,"language, modern language",1,country_wd
Q16707038,Tooro people,Tooro people,10,4248,97.7,ethnic group,1,country_wd
Q2614835,Karamoja,Karamoja,9,6956,97.7,sub-region of Uganda,2,country_wd|keyword_title
Q6087828,Israel–Uganda relations,Israel–Uganda relations,8,14522,97.7,bilateral relation,2,country_wd|keyword_title
Q1422911,Mount Moroto,Mount Moroto,17,805,97.6,mountain,1,country_wd
Q1186645,31st meridian east,31st meridian east,15,1126,97.6,meridian,1,country_wd
