starter_rank,section,qitem,label,en_title,sitelink_count,views,priority,type_labels
136,universal: Uganda essentials,Q913737,Geoffrey Oryema,Geoffrey Oryema,22,5018,98.4,human
137,universal: Uganda essentials,Q1281344,Teso people,Teso people,20,6462,98.4,"ethnic group, tribe"
138,universal: Uganda essentials,Q1711917,Julia Sebutinde,Julia Sebutinde,19,10564,98.4,human
139,universal: Uganda essentials,Q740847,Denis Onyango,Denis Onyango,19,9029,98.4,human
140,universal: Uganda essentials,Q1702,Stephen Kiprotich,Stephen Kiprotich,36,2890,98.3,human
141,universal: Uganda essentials,Q867219,Kalangala District,Kalangala District,28,3007,98.3,"electoral unit, district of Uganda"
142,universal: Uganda essentials,Q636655,Mgahinga Gorilla National Park,Mgahinga Gorilla National Park,25,3231,98.3,national park of Uganda
143,universal: Uganda essentials,Q1624192,Hoima,Hoima,24,3914,98.3,city
144,universal: Uganda essentials,Q1602764,Mangbetu people,Mangbetu people,18,9861,98.3,ethnic group
145,universal: Uganda essentials,Q2462330,Prime Minister of Uganda,Prime Minister of Uganda,18,9175,98.3,position
146,universal: Uganda essentials,Q127327345,Kabaka,Kabaka of Buganda,16,19545,98.3,"noble title, position"
147,universal: Uganda essentials,Q707775,Mwanga II of Buganda,Mwanga II of Buganda,16,17421,98.3,human
148,universal: Uganda essentials,Q6187078,Alupo Jessica Rose Epel,Jessica Alupo,15,26909,98.3,human
149,universal: Uganda essentials,Q1010056,Lake Bunyonyi,Lake Bunyonyi,20,4881,98.2,lake
150,universal: Uganda essentials,Q976859,Nakasongola District,Nakasongola District,20,4888,98.2,district of Uganda
151,home: Acholi sub-region,Q581379,Gulu City,Gulu,48,8097,99.1,city
152,home: Acholi sub-region,Q544320,Kitgum,"Kitgum, Uganda",15,1120,95.9,human settlement
153,home: Acholi sub-region,Q5617918,Gulu University,Gulu University,10,1643,95.4,university
154,home: Acholi sub-region,Q2169642,Pader,"Pader, Uganda",10,439,93.2,human settlement
155,home: Acholi sub-region,Q4750961,Anaka,Anaka,8,755,93.2,human settlement
156,home: Acholi sub-region,Q6354249,Kalongo,Kalongo,8,522,92.6,human settlement
157,home: Acholi sub-region,Q3825255,St. Mary's Hospital Lacor,St. Mary's Hospital Lacor,6,797,91.6,hospital
158,home: Acholi sub-region,Q4749014,Amuru,"Amuru, Uganda",7,328,91.1,human settlement
159,home: Acholi sub-region,Q755806,Atiak,Atiak,6,546,91.0,human settlement
160,home: Acholi sub-region,Q4790390,Pager River,Pager River,8,197,90.9,river
161,home: Acholi sub-region,Q7589068,"St. Joseph's Cathedral, Gulu","St. Joseph's Cathedral, Gulu",6,275,89.8,Catholic cathedral
162,home: Acholi sub-region,Q22082376,Elegu,Elegu,5,648,89.8,border city
163,home: Acholi sub-region,Q4690976,Agago,Agago,5,406,89.0,human settlement
164,home: Acholi sub-region,Q16868894,Adilang,Adilang,6,147,88.8,"town, sub-county of Uganda"
165,home: Acholi sub-region,Q20746229,Acholibur,Acholibur,4,0,63.1,human settlement
166,home: Acholi sub-region,Q119149376,Aruu Falls,Aruu Falls,3,0,60.1,waterfall
167,home: Acholi sub-region,Q126477627,River Ayago,River Ayago,3,0,60.1,river
168,home: Acholi sub-region,Q1485280,Paraa,Paraa,3,0,60.1,human settlement
169,home: Acholi sub-region,Q22082369,Bobi,"Bobi, Uganda",3,0,60.1,town
170,home: Acholi sub-region,Q38250495,"Pope John Paul II College, Gulu","Pope John Paul II College, Gulu",3,0,60.1,school
