qitem,label,statements,occupation_names,description
Q16573040,Lucy Angucia,9,athletics competitor,Ugandan athletics competitor
Q133933971,Mackline Nakatudde,9,chess player,Ugandan chess player
Q135338610,Mariam Tamale,9,basketball player,Ugandan basketball player (born 1991)
Q136381140,Marion Apio,9,basketball player,Ugandan basketball player (born 2009)
Q133934036,Mary Anne Namutebi,9,chess player,Ugandan chess player
Q141156838,Mary Hazel Ssengendo,9,basketball player,Ugandan basketball player (born 2008)
Q133893708,Mary Kevin Ndagire,9,chess player,Ugandan chess player
Q134979311,Mary Nantumbwe,9,boxer,Ugandan boxer
Q133893715,Milly Takali,9,chess player,Ugandan chess player
Q134626279,Monica Aloyo,9,volleyball player,Ugandan professional volleyball player
Q134008748,Mukisa Glory Bbumba,9,,Chess player
Q134276343,Noeline Babirye Nalwoga,9,,Beach wood ball player
Q140681438,Noelle Nakisuyi,9,,Ugandan swimmer
Q134626772,Oliver Acan,9,volleyball player,Ugandan professional volleyball player
Q135338436,Olivia Amani Atima,9,basketball player,Ugandan basketball player (born 2008)
Q133893789,Olivia Asiimwe,9,chess player,Ugandan chess player
Q135111915,Olivia Nakato,9,netballer,Ugandan netball player
Q134627341,Patricia Musubika,9,volleyball player,Ugandan professional volleyball player
Q134279976,Peace Busingye,9,beach volleyball player,Beach volleyball player
Q135338501,Penitah Nabakooza,9,basketball player,Ugandan basketball player (born 2003)
Q135338475,Priscillar Nambogo,9,basketball player,Ugandan basketball player (born 2005)
Q134008712,Promise Siarah Ainembabazi,9,chess player,Ugandan chess player
Q133880520,Prossy Alobo,9,volleyball player,Volleyball player
Q140681479,Rachael Amito,9,,Ugandan swimmer
Q134009469,Rahmah Nabatte,9,chess player,Ugandan chess player
Q135338517,Ramurah Nakato,9,basketball player,Ugandan basketball player (born 2001)
Q134008804,Rashimah Nangonzi,9,chess player,Ugandan chess player
Q135338620,Rebecca Faith Akullo,9,basketball player,Ugandan basketball player (born 1983)
Q134979329,Resty Nanono,9,boxer,Ugandan boxer
Q140589445,Rhaudha Kalungi Nantume,9,swimmer,Ugandan swimmer
Q133893769,Ruth Thelma Lukanga Muganzi,9,chess player,Ugandan chess player
Q134008782,Ryann Kyla Nakijjoba,9,chess player,Ugandan chess player
Q133893722,Safinah Mugide,9,chess player,Chess player
Q135338554,Sandra Auma,9,basketball player,Ugandan basketball player (born 1996)
Q134005518,Sandra Esther Nalunga,9,chess player,Ugandan chess player
Q139836039,Sarah Kirabo,9,rugby player,Ugandan rugby player
Q134008636,Sarah Nakalyowa,9,chess player,Ugandan chess player
Q133893761,Shanita Namaganda,9,chess player,Ugandan chess player
Q134979354,Sharifah Nanyonjo,9,boxer,Ugandan boxer
Q136381268,Shivan Mwesigwa,9,basketball player,Ugandan basketball player (born 2009)
Q134979401,Swaburah Nakato,9,boxer,Ugandan boxer
Q135338546,Sylivia Nakazibwe,9,basketball player,Ugandan basketball player (born 1995)
Q133894788,Tara Ann Mary Naluwoza Kisawuzi,9,swimmer,Ugandan Swimmer
Q135338589,Thecia Vicky Ntale Nassolo,9,basketball player,Ugandan basketball player (born 1984)
Q135338437,Vannessa Loy Nakayenga,9,basketball player,Ugandan basketball player (born 2007)
Q133842450,Wendy Angudeyo,9,golfer,Ugandan golfer
Q139839102,Winnie Atyang,9,rugby player,Ugandan rugby player
Q135338609,Yvonne Byanjeru,9,basketball player,Ugandan basketball player (born 1991)
Q135338547,Zainah Lokwameri,9,basketball player,Ugandan basketball player (born 1994)
