qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q17009782,East African mountains,7,Milima ya Ufa Mashariki,3892,3036.0,3300,128.2,False
Q19609598,Evelyn Anite,8,Evelyn Anite,3773,20452.0,3276,18.4,False
Q16886393,Anne Waiguru,8,Anne Waiguru,4574,16471.0,3275,27.8,False
Q24577238,Robert Katende,5,Robert Katende,1334,10890.0,3249,12.2,True
Q179198,Mukono,22,Mukono,1413,7512.0,3238,18.8,True
Q26838082,Peruth Chemutai,36,Peruth Chemutai,1499,14138.0,3233,10.6,True
Q636655,Mgahinga Gorilla National Park,25,Hifadhi ya Taifa ya Gorilla Mgahinga,1775,6417.0,3231,27.7,True
Q889688,Kabarega of Bunyoro,6,Kabalega wa Bunyoro,2464,5692.0,3230,43.3,False
Q544606,Specioza Kazibwe,21,Specioza Kazibwe,4952,10907.0,3194,45.4,False
Q18764172,Judith Babirye,7,Judith Babirye,5836,9225.0,3186,63.3,False
Q29569942,Bidi Bidi Refugee Settlement,6,Makazi ya Wakimbizi ya Bidi Bidi,4307,22131.0,3165,19.5,False
Q35670,Lango,11,Kilango (Uganda),805,5456.0,3154,14.8,True
Q591283,Lake Mburo National Park,23,Hifadhi ya Taifa ya Ziwa Mburo,2303,9792.0,3141,23.5,False
Q588930,Kabale,23,Kabale,1128,14367.0,3071,7.9,True
Q938145,Ntungamo,15,Ntungamo,1086,11246.0,3066,9.7,True
Q1740874,Kidepo Valley National Park,22,Hifadhi ya Taifa ya Bonde la Kidepo,1280,21848.0,3036,5.9,True
Q3270727,Kiga,15,Kichiga (lugha),833,6227.0,3011,13.4,True
Q867219,Kalangala District,28,Wilaya ya Kalangala,1367,11192.0,3007,12.2,True
Q2753927,Kyambogo University,12,Chuo Kikuu cha Kyambogo,3128,11355.0,3003,27.5,False
Q13207,Runyankole,19,Kinyankore (lugha),699,9075.0,2986,7.7,True
Q56507,Alur,18,Kialur,873,5807.0,2938,15.0,True
Q845168,East,46,"Mkoa wa Mashariki, Kamerun",419,32377.0,2902,1.3,True
Q1702,Stephen Kiprotich,36,Stephen Kiprotich,1299,11985.0,2890,10.8,True
Q33784,Soga,18,Kisoga (lugha),683,20348.0,2844,3.4,True
Q118358888,Agather Atuhaire,10,Agather Atuhaire,3540,4710.0,2830,75.2,False
Q525954,Kisoro,21,Kisoro,1023,10190.0,2825,10.0,True
Q2141024,Soroti,25,Soroti,1021,20056.0,2815,5.1,True
Q37994847,Nancy Kacungira,5,Nancy Kacungira,3430,11703.0,2807,29.3,False
Q4057928,Adhola people,6,Waadhola,942,10934.0,2783,8.6,True
Q7824218,Tooro,10,Kitooro (lugha),673,48954.0,2756,1.4,True
Q966819,Kira Town,25,"Kira, Uganda",1178,23142.0,2738,5.1,True
Q7959854,Rosemary Wahu Kagwi,8,Wahu,3486,9610.0,2661,36.3,False
Q1028215,Gulu District,21,Wilaya ya Gulu,1333,6212.0,2636,21.5,True
Q19668159,Flavia Tumusiime,10,Flavia Tumusiime,800,10771.0,2636,7.4,True
Q7877608,Uganda Management Institute,8,Taasisi ya Usimamizi ya Uganda,703,6909.0,2624,10.2,True
Q16876017,Jennifer Nasubuga Makumbi,11,Jennifer Nansubuga Makumbi,4195,30149.0,2583,13.9,False
Q22007122,Bakireke Nambooze Betty,11,Betty Nambooze,1790,14232.0,2568,12.6,True
Q111530519,Priscilla Zawedde (Azawi),5,Azawi,1596,14425.0,2559,11.1,True
Q7661016,Sylvia Tamale,20,Sylvia Tamale,1994,28567.0,2558,7.0,True
Q976873,Rakai District,21,Wilaya ya Rakai,1364,8972.0,2556,15.2,True
Q1362587,Yumbe District,20,Wilaya ya Yumbe,1342,9780.0,2534,13.7,True
Q7270525,Sylvia of Buganda,6,Sylvia Nagginda Luswata,3382,12579.0,2493,26.9,False
Q1151066,Mukono District,24,Wilaya ya Mukono,1343,9953.0,2453,13.5,True
Q1509547,Lake George,25,Ziwa Dweru,922,7862.0,2444,11.7,True
Q29474,Teso,14,Kiteso,5093,30833.0,2443,16.5,False
Q21032193,Wanyoto Lydia Mutende,10,Lydia Wanyoto,5277,9088.0,2428,58.1,False
Q2737438,Kazinga Channel,18,Mtaro wa Kazinga,624,4950.0,2344,12.6,True
Q1907120,Masindi,21,Masindi,1030,14034.0,2313,7.3,True
Q1456536,human rights in Uganda,9,Haki za binadamu nchini Uganda,7226,55923.0,2204,12.9,False
Q3196953,Nande,12,Kinande (lugha),809,21739.0,2192,3.7,True
Q1207391,Kayunga District,25,Wilaya ya Kayunga,1359,6385.0,2177,21.3,True
Q4465957,tourism in Uganda,10,Utalii nchini Uganda,8097,15097.0,2165,53.6,False
Q16732201,Mukasa Mbidde,5,Mukasa Mbidde,18017,20892.0,2156,86.2,False
Q2267729,Mityana,15,Mityana,1128,13127.0,2152,8.6,True
Q4757568,Andrew Kaggwa,10,Andrea Kaggwa,2749,3130.0,2150,87.8,False
Q1681274,James Wapakhabulo,5,James Wapakhabulo,1866,8300.0,2144,22.5,True
Q523823,Lendu,9,Kilendu,866,6679.0,2130,13.0,True
Q1229919,Kasese District,18,Wilaya ya Kasese,2496,7942.0,2114,31.4,False
Q2391998,Koboko,17,Koboko,1087,11593.0,2089,9.4,True
Q110611318,Travis Mutyaba,11,Travis Mutyaba,1924,13881.0,2068,13.9,True
Q42820085,Adeke Anna Ebaju,9,Anna Ebaju Adeke,7577,13181.0,2066,57.5,False
Q1229734,Adjumani District,20,Wilaya ya Adjumani,1369,7195.0,2064,19.0,True
Q1229869,Iganga District,22,Wilaya ya Iganga,1350,4205.0,2063,32.1,True
Q2203142,Kapchorwa,12,Kapchorwa,368,9818.0,2058,3.7,True
Q534203,Kyankwanzi District,21,Wilaya ya Kyankwanzi,1378,15062.0,2050,9.1,True
Q1186541,Tororo District,24,Wilaya ya Tororo,1350,6858.0,2049,19.7,True
Q3810254,Joseph Mukasa,8,Yosefu Mukasa Balikuddembe,2782,6838.0,2032,40.7,False
Q7933251,Violet Kajubiri,7,Violet Kajubiri,5342,3395.0,2019,157.3,False
Q3528929,Mubende,14,Mubende,1104,11534.0,2018,9.6,True
Q205428,Semliki River,36,Mto Semliki,794,10788.0,2015,7.4,True
Q1318806,Kamwenge District,17,Wilaya ya Kamwenge,1372,12234.0,1987,11.2,True
Q85798241,Rwampara district,6,Wilaya ya Rwampara,1349,2659.0,1980,50.7,True
Q2041227,Apac,12,Apac,992,10117.0,1969,9.8,True
Q3321631,Buikwe District,24,Wilaya ya Buikwe,1350,7074.0,1931,19.1,True
Q123520678,Jimmy Spire Sssentogo,6,Jimmy Spire Ssentongo,1659,18055.0,1917,9.2,True
Q1032245,Kanungu District,20,Wilaya ya Kanungu,1359,8958.0,1909,15.2,True
Q3526470,Kabale District,21,Wilaya ya Kabale,1304,5792.0,1895,22.5,True
Q6699738,Lugazi,16,Lugazi,633,10522.0,1884,6.0,True
Q1364817,Luwero District,22,Wilaya ya Luweero,1344,6943.0,1878,19.4,True
Q5327655,East African Development Bank,6,Benki ya Maendeleo ya Afrika Mashariki,5023,13623.0,1864,36.9,False
Q110978835,Fauzia Najjemba,6,Fauzia Najjemba,1555,7084.0,1863,22.0,True
Q1229910,Kabarole District,20,Wilaya ya Kabarole,1378,8397.0,1855,16.4,True
Q3459039,Ibanda,14,Ibanda,811,7105.0,1846,11.4,True
Q35472,Ik,14,Kiik,791,11197.0,1813,7.1,True
Q492316,Uganda Securities Exchange,11,Soko la Hisa la Uganda,1464,18282.0,1812,8.0,True
Q16214164,Sabina Wanjiru Chege,9,Sabina Wanjiru Chege,1692,12645.0,1805,13.4,True
Q19865353,Bafumbira,6,Wafumbira,1457,8728.0,1789,16.7,True
Q1229921,Kapchorwa District,20,Wilaya ya Kapchorwa,1382,8390.0,1779,16.5,True
Q1280038,Busia,17,"Busia, Uganda",3574,12101.0,1779,29.5,False
Q432438,Nakaseke District,19,Wilaya ya Nakaseke,1321,6358.0,1773,20.8,True
Q28474629,Timothy Awany,13,Timothy Dennis Awany,557,5032.0,1761,11.1,True
Q1229758,Arua District,19,Wilaya ya Arua,1333,10620.0,1760,12.6,True
Q1318857,Koboko District,18,Wilaya ya Koboko,1330,8470.0,1752,15.7,True
Q2846185,Dorobo peoples,10,Wadorobo,1023,4822.0,1752,21.2,True
Q38525495,Clare Akamanzi,13,Claire Akamanzi,3562,10937.0,1736,32.6,False
Q289419,Rukungiri District,20,Wilaya ya Rukungiri,1384,8253.0,1724,16.8,True
Q16194602,Razia Iqbal,7,Razia Iqbal,4784,5874.0,1719,81.4,False
Q3109755,Godfrey Walusimbi,13,Godfrey Walusimbi,953,10599.0,1714,9.0,True
Q26923586,Alice Wahome,6,Alice Wahome,1418,5376.0,1701,26.4,True
Q1657091,Iganga,18,Iganga,2157,15374.0,1696,14.0,False
Q1354926,Eriya Kategaya,8,Eriya Kategaya,1905,8732.0,1667,21.8,True
Q1032233,Masaka District,24,Wilaya ya Masaka,1335,6517.0,1648,20.5,True
Q557172,University of East Africa,14,Chuo Kikuu cha Afrika ya Mashariki,651,6030.0,1648,10.8,True
Q204642,Ntungamo District,18,Wilaya ya Ntungamo,1374,6500.0,1646,21.1,True
Q4940747,Bombo,10,"Bombo, Uganda",616,13434.0,1640,4.6,True
Q1364824,Mayuge District,20,Wilaya ya Mayuge,1356,8453.0,1632,16.0,True
