feature_class,class_label,name,osm_type,osm_id,segments,wikidata_qid,wikipedia_tag,link_state,osm_url
school,Schools,Akobwait Primary School,node,3999151553,1,Q23047992,,wikidata_only,https://www.openstreetmap.org/node/3999151553
school,Schools,Akoke Primary School,node,4023585898,1,Q22938384,,wikidata_only,https://www.openstreetmap.org/node/4023585898
school,Schools,Akokoro Primary School,node,4020702456,1,Q22942513,,wikidata_only,https://www.openstreetmap.org/node/4020702456
school,Schools,Akokoro Secondary School,node,4020702457,1,Q22942523,,wikidata_only,https://www.openstreetmap.org/node/4020702457
school,Schools,Akol Primary School,node,3999148291,1,Q22810569,,wikidata_only,https://www.openstreetmap.org/node/3999148291
school,Schools,Akolodong Primary School,node,3980833283,1,Q22811852,,wikidata_only,https://www.openstreetmap.org/node/3980833283
school,Schools,Akonyibedo Primary School,node,3990876812,1,Q22812208,,wikidata_only,https://www.openstreetmap.org/node/3990876812
school,Schools,Akoo Primary School,node,4013772730,1,Q22923900,,wikidata_only,https://www.openstreetmap.org/node/4013772730
school,Schools,Akor Primary School,node,4027491434,1,Q22954701,,wikidata_only,https://www.openstreetmap.org/node/4027491434
school,Schools,Akore Acowa Primary School,node,3958457795,1,,,untagged,https://www.openstreetmap.org/node/3958457795
school,Schools,Akore Primary School,node,3967322690,1,Q22807541,,wikidata_only,https://www.openstreetmap.org/node/3967322690
school,Schools,Akore Primary School,node,4012732090,1,Q22814726,,wikidata_only,https://www.openstreetmap.org/node/4012732090
school,Schools,Akoremor Primary School,node,4018208855,1,Q23214657,,wikidata_only,https://www.openstreetmap.org/node/4018208855
school,Schools,Akorikeya Primary School,node,4000048957,1,Q22680416,,wikidata_only,https://www.openstreetmap.org/node/4000048957
school,Schools,Akoromit Primary School,node,3958457796,1,,,untagged,https://www.openstreetmap.org/node/3958457796
school,Schools,Akot Primary School,node,4012759903,1,Q23214187,,wikidata_only,https://www.openstreetmap.org/node/4012759903
school,Schools,Akotcwe Primary School,node,4027558930,1,Q23215147,,wikidata_only,https://www.openstreetmap.org/node/4027558930
school,Schools,Akou Etom Primary School,node,3991959661,1,Q22680541,,wikidata_only,https://www.openstreetmap.org/node/3991959661
