qitem,label,sitelink_count,num_strategies,strategies,types,gender_qid,admin_qid,latitude,longitude,date_of_birth,inception,en_title,lg_title,sw_title,en_views,is_core,gender,admin_label,type_labels
Q64809284,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyabigata,0,1,,,stream
Q64809285,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyabigoma,0,1,,,stream
Q64809287,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyabirago (Masindi),0,1,,,stream
Q64809295,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyabisabo,0,1,,,stream
Q64809296,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyabisojo,0,1,,,stream
Q64809529,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyakagzi,0,1,,,stream
Q64809542,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyakajunjo,0,1,,,stream
Q64809557,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyakasenyi (Masindi),0,1,,,stream
Q64809655,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyakotogo,0,1,,,stream
Q64809680,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyamiringa,0,1,,,stream
Q64809762,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyamizi (Masindi),0,1,,,stream
Q64809898,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyampunu,0,1,,,stream
Q64809901,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyamulula,0,1,,,stream
Q64809913,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyangabya,0,1,,,stream
Q64809916,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyansonko,0,1,,,stream
Q64809931,Nyarunkoizi,2,1,country_wd,Q16465938,,,,,,,,,Mto Nyarunkoizi,0,1,,,seasonal river
Q64810058,,2,1,country_wd,Q47521,,,,,,,,,Mto Sambiye (Masindi),0,1,,,stream
Q64810070,,2,1,country_wd,Q47521,,,,,,,,,Mto Sambiyu,0,1,,,stream
Q64810123,,2,1,country_wd,Q47521,,,,,,,,,Mto Siba (Masindi),0,1,,,stream
Q64810292,,2,1,country_wd,Q47521,,,,,,,,,Mto Wabikoba,0,1,,,stream
Q64810303,,2,1,country_wd,Q47521,,,,,,,,,Mto Wagawaga,0,1,,,stream
Q64810328,,2,1,country_wd,Q47521,,,,,,,,,Mto Waiga (Masindi),0,1,,,stream
Q64810419,,2,1,country_wd,Q47521,,,,,,,,,Mto Wairingo,0,1,,,stream
Q64822902,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyakisharara,0,1,,,stream
Q64825267,Lucy Aber Okumu,2,1,citizenship_wd,Q5,Q6581072,,,,1988-12-09T00:00:00Z,,,,,0,1,female,,human
Q6482752,Lamwo,3,1,country_wd,Q486972,,Q3539277,3.53,32.8,,,Lamwo,,Lamwo,0,1,,Lamwo District,human settlement
Q64841597,,2,1,country_wd,Q47521,,,,,,,,,Mto Irumba,0,1,,,stream
Q64841599,,2,1,country_wd,Q47521,,,,,,,,,Mto Ivare,0,1,,,stream
Q64841600,,2,1,country_wd,Q47521,,,,,,,,,Mto Kachingu,0,1,,,stream
Q64841601,,2,1,country_wd,Q47521,,,,,,,,,Mto Kafunzo (Ntungamo),0,1,,,stream
Q64841603,,2,1,country_wd,Q47521,,,,,,,,,Mto Kakura (Uganda),0,1,,,stream
Q64841606,,2,1,country_wd,Q47521,,,,,,,,,Mto Kamira (Ntungamo),0,1,,,stream
Q64841609,,2,1,country_wd,Q47521,,,,,,,,,Mto Kyangara,0,1,,,stream
Q64841611,,2,1,country_wd,Q47521,,,,,,,,,Mto Matimba (Uganda),0,1,,,stream
Q64841614,,2,1,country_wd,Q47521,,,,,,,,,Mto Nechianza,0,1,,,stream
Q64841615,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyabugongi,0,1,,,stream
Q64841618,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyaluhanga,0,1,,,stream
Q64841620,,2,1,country_wd,Q47521,,,,,,,,,Mto Omianza,0,1,,,stream
Q64841623,,2,1,country_wd,Q47521,,,,,,,,,Mto Omurkango,0,1,,,stream
Q64850488,Freedom,5,1,keyword_title,Q11424,,,,,,,Freedom (2016 film),,,0,0,,,film
Q64853337,Shafik Kuchi Kagimu,2,1,birth_death_wd,Q5,Q6581097,,,,1998-11-28T00:00:00Z,,Shafik Kuchi Kagimu,,,0,1,male,,human
Q6486380,Lango College,3,1,country_wd,Q3914|Q159334,,Q206519,2.26706,32.8904,,,Lango College,,,0,1,,Lira District,"school, secondary school"
Q6486904,languages of Uganda,9,2,country_wd|keyword_title,Q55958305,,,,,,,Languages of Uganda,,Orodha ya lugha za Uganda,25567,1,,,languages of a country
Q64918753,Armenia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64918953,Honduras–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64919130,Eswatini–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64919359,Ecuador–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64919501,Portugal–Uganda relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64919801,Lesotho–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64919945,Greece–Uganda relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64920197,Botswana–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64920406,Rwanda–Uganda relations,3,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64920571,Singapore–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64920686,Turkey–Uganda relations,6,2,country_wd|keyword_title,Q15221623,,,,,,,Turkey–Uganda relations,,,2854,1,,,bilateral relation
Q64920788,Latvia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64920948,France–Uganda relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64921190,Guyana–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64921758,Slovenia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64922294,Central African Republic–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64923647,Federated States of Micronesia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64924205,Laos–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64924930,Slovakia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64925399,Estonia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64925954,Burundi–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926437,Bahrain–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926440,Lebanon–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926446,Syria–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926452,Guinea–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926454,Finland–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926456,Senegal–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926461,Cambodia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926472,Belize–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926475,Iceland–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926490,Peru–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926492,Bosnia and Herzegovina–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926497,Tuvalu–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926501,Ghana–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926503,Niger–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926510,Mongolia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926526,Croatia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926532,Iraq–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926534,Qatar–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926536,Pakistan–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926539,Jamaica–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926542,Morocco–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926558,Guatemala–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926563,Moldova–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926566,Sri Lanka–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926568,Egypt–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926572,Mauritania–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926586,South Africa–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926596,Austria–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926599,Norway–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926613,Luxembourg–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926616,Ireland–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926626,New Zealand–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926638,Bhutan–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926640,Kiribati–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926645,Samoa–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926657,Libya–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926661,Somalia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926668,Bulgaria–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926678,Uganda–United Kingdom relations,5,2,country_wd|keyword_title,Q15221623,,,,,,,Uganda–United Kingdom relations,,,0,1,,,bilateral relation
Q64926687,Djibouti–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926698,Haiti–Uganda relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926701,Kyrgyzstan–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926702,Madagascar–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926704,Barbados–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926705,Iran–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926726,Philippines–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926728,Lithuania–Uganda relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926744,Oman–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926749,Uganda–United Arab Emirates relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926754,Afghanistan–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926758,Suriname–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926765,Benin–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926770,Sweden–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926781,Namibia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926785,Dominica–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926790,Uganda–Ukraine relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926794,Chad–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926801,Malta–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926809,Jordan–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926814,Andorra–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926826,Algeria–Uganda relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926836,Uganda–Venezuela relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926839,North Macedonia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926854,Maldives–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926866,Seychelles–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926868,Nicaragua–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926875,Uganda–Vietnam relations,2,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926883,Hungary–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926896,Colombia–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926912,Mauritius–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64926943,Bahamas–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64930760,Cameroon–Uganda relations,1,1,country_wd,Q15221623,,,,,,,,,,0,1,,,bilateral relation
Q64971706,Poland–Uganda relations,4,2,country_wd|keyword_title,Q15221623,,,,,,,Poland–Uganda relations,,,0,1,,,bilateral relation
Q64990966,,2,1,country_wd,Q47521,,,,,,,,,Mto Kabiseke,0,1,,,stream
Q64991059,,2,1,country_wd,Q47521,,,,,,,,,Mto Kafunzo (Rukungiri),0,1,,,stream
Q64991082,,2,1,country_wd,Q47521,,,,,,,,,Mto Kahengye,0,1,,,stream
Q64991158,,2,1,country_wd,Q47521,,,,,,,,,Mto Kyabamba,0,1,,,stream
Q64991171,,2,1,country_wd,Q47521,,,,,,,,,Mto Kyomela,0,1,,,stream
Q64991183,,2,1,country_wd,Q47521,,,,,,,,,Mto Nchwera,0,1,,,stream
Q64991215,,2,1,country_wd,Q47521,,,,,,,,,Mto Ntunga (Rukungiri),0,1,,,stream
Q65013902,Ndeezi Alex,1,1,citizenship_wd,Q5,Q6581097,,,,1971-02-11T00:00:00Z,,,,,0,1,male,,human
Q6503014,Law Development Centre,2,1,country_wd,Q4671277,,Q3894,0.32416667,32.56916667,,1970-01-01T00:00:00Z,Law Development Centre,Law Development Centre,,0,1,,Kampala,academic institution
Q65030260,Patrick Salvador Idringi,3,2,birth_death_wd|citizenship_wd,Q5,Q6581097,,,,1985-02-14T00:00:00Z,,Patrick Salvado Idringi,Patrick Salvador Idringi,,0,1,male,,human
Q6503571,Lawapa,5,1,keyword_title,Q5,Q6581097,,,,http://www.wikidata.org/.well-known/genid/86c6fa461e1850d041633f71e4662a44,,Lawapa,,,0,0,male,,human
Q65038894,,2,1,country_wd,Q47521,,,,,,,,,Mto Kabaga (Uganda),0,1,,,stream
Q65038919,,2,1,country_wd,Q47521,,,,,,,,,Mto Kahiro,0,1,,,stream
Q65038924,,2,1,country_wd,Q47521,,,,,,,,,Mto Kaisunga,0,1,,,stream
Q65038934,,2,1,country_wd,Q47521,,,,,,,,,Mto Kakinga (Kamwenge),0,1,,,stream
Q65039256,,2,1,country_wd,Q47521,,,,,,,,,Mto Kitengeto,0,1,,,stream
Q65039310,,2,1,country_wd,Q47521,,,,,,,,,Mto Kizikibi (Kamwenge),0,1,,,stream
Q65039389,,2,1,country_wd,Q47521,,,,,,,,,Mto Kyarutanga,0,1,,,stream
Q65039450,,2,1,country_wd,Q47521,,,,,,,,,Mto Kyoga,0,1,,,stream
Q65039577,,2,1,country_wd,Q47521,,,,,,,,,Mto Mpanga (Kamwenge),0,1,,,stream
Q65039630,,2,1,country_wd,Q47521,,,,,,,,,Mto Mukakerre,0,1,,,stream
Q65039655,,2,1,country_wd,Q47521,,,,,,,,,Mto Musarre,0,1,,,stream
Q65039682,,2,1,country_wd,Q47521,,,,,,,,,Mto Mutamba (Uganda),0,1,,,stream
Q65039730,,2,1,country_wd,Q47521,,,,,,,,,Mto Nkurungu,0,1,,,stream
Q65039784,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyabaganga,0,1,,,stream
Q65039796,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyakasana,0,1,,,stream
Q65039834,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyamawaki,0,1,,,stream
Q65039848,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyamuswiga,0,1,,,stream
Q65039861,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyandagura,0,1,,,stream
Q65039878,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyansura,0,1,,,stream
Q65039942,,2,1,country_wd,Q47521,,,,,,,,,Mto Tiguhonoka,0,1,,,stream
Q65039959,,2,1,country_wd,Q47521,,,,,,,,,Mto Zinga (Uganda),0,1,,,stream
Q65040874,Karugutu,1,2,country_wd|keyword_title,Q486972,,Q3539547,0.789444444,30.226944444,,,"Karugutu, Uganda",,,0,1,,Ntoroko District,human settlement
Q65041761,Legal practice in Uganda,1,2,country_wd|keyword_title,,,,,,,,Legal practice in Uganda,,,0,1,,,
Q65043493,Uganda Specialized Nursing University,1,2,country_wd|keyword_title,Q4671277,,,0.339722222,32.580555555,,2019-01-01T00:00:00Z,Uganda Specialized Nursing University,,,0,1,,,academic institution
Q65044670,2019 Ugandan landslide,1,1,country_wd,Q167903,,,,,,,2019 Ugandan landslide,,,0,1,,,landslide
Q65044888,Uganda Joint Medical Store,1,2,country_wd|keyword_title,,,,0.296111111,32.595277777,,,Uganda Joint Medical Store,,,0,1,,,
Q65045789,Kalenjin folklore,2,1,ethnic_group_wd,Q24890109,,,,,,,Kalenjin folklore,,,0,0,,,folklore by ethnic group
Q6504582,Lawrence Segawa,4,2,birth_death_wd|citizenship_wd,Q5,Q6581097,,,,1984-09-10T00:00:00Z,,Lawrence Segawa,Lawrence Segawa,,0,1,male,,human
Q65046746,Fins Medical University,2,1,country_wd,Q4671277,,,0.665,30.265,,,Fins Medical University,Fins Medical University,,0,1,,,academic institution
Q65048056,Jack Maumbe Mukhwana,2,2,birth_death_wd|citizenship_wd,Q5,Q6581097,,,,1939-04-18T00:00:00Z,,Jack Maumbe Mukhwana,Jack Maumbe Mukhwana,,0,1,male,,human
Q65048259,Moses Muhangi,2,2,birth_death_wd|citizenship_wd,Q5,Q6581097,,,,1984-01-01T00:00:00Z,,Moses Muhangi,Moses Muhangi,,0,1,male,,human
