qitem,label,sitelink_count,occupation_qid,en_title,views,occupation,in_lgwiki
Q27688647,Nabilah Naggayi Sempala,6,Q82955,Nabilah Naggayi Sempala,577,politician,True
Q62323991,Edith Mary Bataringaya,6,Q82955,Edith Mary Bataringaya,574,politician,True
Q34949766,Esther Chebet,10,Q11513337,Esther Chebet,563,athletics competitor,True
Q105942809,Obigah Rose,6,Q82955,Rose Obinga,559,politician,True
Q19609590,Harriet Anena,13,Q36180,Harriet Anena,558,writer,True
Q6760048,Margaret Zziwa,8,Q82955,Margaret Zziwa,558,politician,True
Q147957,Zarina Bhimji,12,Q33231,Zarina Bhimji,555,photographer,True
Q105950862,Christine Nakimwero Kaaya,5,Q82955,Christine Nakimwero Kaaya,555,politician,True
Q109920237,Shakila Rahim Lamar,5,Q2961975,Shakila Rahim Lamar,551,business executive,True
Q16200545,Jennifer Namuyangu,7,Q82955,Jenipher Namuyangu,548,politician,True
Q72408609,Hilda Flavia Nakabuye,15,Q15253558,Hilda Flavia Nakabuye,543,activist,True
Q18001471,Joy Kwesiga,7,Q3400985,Joy Kwesiga,543,academic,True
Q58030252,Julianne Mweheire,7,Q326653,Julianne Mweheire,539,accountant,True
Q105956330,Auma Linda Agnes,6,Q82955,Linda Agnes Auma,534,politician,True
Q105942528,Akello Rose Lilly,5,Q37226,Rose Lilly Akello,527,teacher,True
Q42346183,Doreen Mirembe,10,Q28389,Doreen Mirembe,524,screenwriter,True
Q6150822,Janat Mukwaya,8,Q82955,Janat Mukwaya,522,politician,True
Q18386326,Pamela Mbabazi,5,Q188094,Pamela Mbabazi,516,economist,True
Q43299945,Patricia Akello,7,Q4610556,Patricia Akello,515,model,True
Q20985719,Rose Rwakasisi,6,Q4853732,Rose Rwakasisi,515,children's writer,True
Q60566718,Lilly Ajarova,8,Q2961975,Lilly Ajarova,514,business executive,True
Q106368301,Florence Namayanja,5,Q82955,Florence Namayanja,509,politician,True
Q60059435,Lorna Magara,6,Q974144,Lorna Magara,508,educator,True
Q40229556,Leni Shida,10,Q4009406,Leni Shida,507,sprinter,True
Q6761446,Maria Mutagamba,12,Q82955,Maria Mutagamba,503,politician,True
Q106690864,Sandra Nabweteme,6,Q937857,Sandra Nabweteme,498,association football player,True
Q48220130,Monica Mugenyi,6,Q16533,Monica Mugenyi,494,judge,True
Q17379677,Winnie Nanyondo,12,Q13381753,Winnie Nanyondo,490,middle-distance runner,True
Q28036183,Rehema Nanfuka,14,Q28389,Rehema Nanfuka,487,screenwriter,True
Q61473228,Santa Anzo,12,Q3501317,Santa Anzo,478,fashion designer,True
Q26611955,Stella Chesang,11,Q11513337,Stella Chesang,477,athletics competitor,True
Q5590968,Grace Akello,20,Q36180,Grace Akello,475,writer,True
Q42679907,Barbara Kaija,9,Q1930187,Barbara Kaija,475,journalist,True
Q42529036,Barbara Mulwana,9,Q81096,Barbara Mulwana,471,engineer,True
Q98502288,Emma Naluyima,6,Q43845,Emma Naluyima,471,businessperson,True
Q111180208,Alice Alaso,5,Q37226,Alice Alaso,468,teacher,True
Q3162261,Jaqee,5,Q36834,Jaqee,468,composer,False
Q7648225,Susan Nalugwa Kiguli,7,Q36180,Susan Nalugwa Kiguli,466,writer,True
Q50379531,Sarah Nyendwoha Ntiro,7,Q3400985,Sarah Nyendwoha Ntiro,463,academic,True
