qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q1113362,p’Bitek Okot,16,P'Bitek Okot,10951,11873.0,4120,92.2,False
Q804474,Konjo people,16,Bakonjo,54074,64776.0,4068,83.5,False
Q372259,John Akii-Bua,32,John Akii-Bua,3768,11414.0,4034,33.0,False
Q5345394,Edward Ssekandi,10,Ow'ekitiibwa Edward Kiwanuka Ssekandi,6636,7600.0,4031,87.3,False
Q3868597,music of Uganda,6,Okuyimba mu Uganda,36789,34803.0,3947,105.7,False
Q493271,East African Breweries,9,East African Breweries,26313,23721.0,3946,110.9,False
Q1074974,Kassim Ouma,8,Kassim Ouma,17550,18853.0,3942,93.1,False
Q1624192,Hoima,24,Hoima,402,19441.0,3914,2.1,True
Q16223205,Khalid Aucho,14,Khalid Aucho,13176,23524.0,3898,56.0,False
Q27107066,Elio Capradossi,16,Elio Capradossi,7218,15985.0,3866,45.2,False
Q1164175,2011 Ugandan general election,8,Akalulu ka Uganda aka 2011,8920,9518.0,3819,93.7,False
Q6176542,Odongo Jeje Abubakhar,8,Jeje Odongo,5780,8212.0,3690,70.4,False
Q19957755,Farouk Miya,20,Farouk Miya,10471,14289.0,3609,73.3,False
Q105503232,Aziz Kayondo,9,Aziz Kayondo,4401,7118.0,3582,61.8,False
Q6898106,Queen of Uganda,7,Queen of Uganda,6554,6903.0,3554,94.9,False
Q2649391,Rakai,12,Rakai,216,9796.0,3528,2.2,True
Q29390046,Stella Nyanzi,13,Stella Nyanzi,19155,32260.0,3482,59.4,False
Q16935180,Rema Namakula,9,Rema Namakula,6280,9798.0,3478,64.1,False
Q838928,Rwenzori Mountains National Park,46,Ekkuumiro ly'ebisolo erya Rwenzori Mountains National Park,8222,8526.0,3453,96.4,False
Q1636788,Kintu,7,Kintu,10339,9950.0,3422,103.9,False
Q4742276,Kyambadde Amelia Anne,14,Amelia Kyambadde,7460,8457.0,3402,88.2,False
Q3784984,Henry Oryem Okello,5,Henry Oryem Okello,5609,8892.0,3359,63.1,False
Q18349252,Herman Basudde,5,Herman Basudde,13518,9708.0,3355,139.2,False
Q3556899,Vice President of Uganda,10,Vice President of Uganda,3381,3173.0,3340,106.6,False
Q2821818,Abraham Chepkirwok,8,Abraham Chepkirwok,5142,6857.0,3311,75.0,False
Q19609598,Evelyn Anite,8,Evelyn Anite,10952,20452.0,3276,53.5,False
Q24577238,Robert Katende,5,Robert Katende,10982,10890.0,3249,100.8,False
Q179198,Mukono,22,Mukono Town,6564,7512.0,3238,87.4,False
Q105965226,Shartsi Musherure Kuteesa,5,Shatsi Musherure Kutesa,5044,11928.0,3235,42.3,False
Q26838082,Peruth Chemutai,36,Peruth Chemutai,7654,14138.0,3233,54.1,False
Q636655,Mgahinga Gorilla National Park,25,Ekkuumira ly'amazike erya Mgahinga,6807,6417.0,3231,106.1,False
Q889688,Kabarega of Bunyoro,6,Kabarega w'e Bunyoro,4099,5692.0,3230,72.0,False
Q344941,Samson Kisekka,10,Samson Kisekka,2282,8859.0,3214,25.8,False
Q544606,Specioza Kazibwe,21,Specioza Kazibwe,6172,10907.0,3194,56.6,False
Q18764172,Judith Babirye,7,Judith Babirye,2799,9225.0,3186,30.3,False
Q591283,Lake Mburo National Park,23,Ekkuumiro ly'ebisolo erya Lake Mburo,3970,9792.0,3141,40.5,False
Q706635,James Hannington,12,James Hannington,18689,15577.0,3122,120.0,False
Q1407972,2001 Ugandan presidential election,9,2001 okulonda kwa pulezidenti wa Uganda,4700,5018.0,3089,93.7,False
Q588930,Kabale,23,Kabale,353,14367.0,3071,2.5,True
Q938145,Ntungamo,15,Ntungamo,5983,11246.0,3066,53.2,False
Q24572733,Namuganza Persis Princess,7,Persis Namuganza,9585,16202.0,3055,59.2,False
Q514030,Mbarara University of Science and Technology,13,Ssetendekero y’e Mbarara,7898,11253.0,3050,70.2,False
Q1740874,Kidepo Valley National Park,22,Ekkuumiro ly'ebisolo erya Kidepo Valley,6545,21848.0,3036,30.0,False
Q867219,Kalangala District,28,Kalangala (disitulikit),1031,11192.0,3007,9.2,True
Q1895698,Police FC,9,Police FC (Uganda) .,5271,9799.0,3006,53.8,False
Q2753927,Kyambogo University,12,Yunivasite y'e Kyambogo,8791,11355.0,3003,77.4,False
Q4867416,Basilica of the Uganda Martyrs,11,"Basilica of the Uganda Martyrs, Namugongo",11,7460.0,2985,0.1,True
Q338125,Semei Kakungulu,6,Semei Kakungulu,8836,11884.0,2916,74.4,False
Q1353883,Majid Musisi,11,Majid Musisi,16541,19094.0,2914,86.6,False
Q136693453,Abraham Luzzi,7,Abraham Luzzi,17491,24679.0,2910,70.9,False
Q123986370,Susan Nsibirwa,6,Susan Nsibirwa,4072,8663.0,2905,47.0,False
Q2851484,Annet Negesa,7,Annet Negesa,6547,9733.0,2897,67.3,False
Q393388,Aggrey Awori,7,Aggrey Awori,16541,17499.0,2894,94.5,False
Q486865,,11,Uganda Airlines (1976-2001),16447,26098.0,2887,63.0,False
Q118358888,Agather Atuhaire,10,Agather Atuhaire,4074,4710.0,2830,86.5,False
Q525954,Kisoro,21,Kisoro,218,10190.0,2825,2.1,True
Q2141024,Soroti,25,Soroti,190,20056.0,2815,0.9,True
Q37994847,Nancy Kacungira,5,Nancy Kacungira,10184,11703.0,2807,87.0,False
Q714662,Martin Mutumba,19,Martin Kayongo-Mutumba,13797,18108.0,2799,76.2,False
Q98733574,Musenero Monica Masanza,6,Monica Musenero,4474,8474.0,2796,52.8,False
Q7383142,Ruth Nankabirwa,6,Ruth Nankabirwa,5416,7833.0,2769,69.1,False
Q7877696,1996 Ugandan presidential election,6,1996 Okulonda kwa pulezidenti wa Uganda,9655,7769.0,2751,124.3,False
Q24572619,Betty Amongi,12,Betty Amongi,7753,9416.0,2739,82.3,False
Q966819,Kira Town,25,"Kira, Yuganda",281,23142.0,2738,1.2,True
