qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q137988668,Namatovu Mastula,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,3,18,Mastula Namatovu,Mastula Namatovu,yes
Q105825933,Namujju Cissy Dionizia,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,18,Cissy Dionizia Namujju,Cissy Dionizia Namujju,yes
Q105951100,Nyakato Dorothy,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,18,Dorothy Nyakato,Dorothy Nyakato,yes
Q105942809,Obigah Rose,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,18,Rose Obinga,Rose Obinga,yes
Q62100579,Pauline Kemirembe Kyaka,Ugandan Politician,Parliament,Member of Parliament of Uganda,3,18,Pauline Kemirembe Kyaka,Pauline Kemirembe Kyaka,yes
Q58041343,Rama Jacqueline Aol,Ugandan politician,Parliament,Member of Parliament of Uganda,5,18,Rama Jacqueline Aol,Rama Jacqueline Aol,yes
Q111533756,Rosemary Kerwegi,Ugandan educator and legislator,Parliament,member of parliament,2,18,Rosemary Kerwegi,Rosemary Kerwegi,yes
Q105839655,Rwakoojo Robina Gureme,Ugandan politician,Parliament,Member of Parliament of Uganda,7,18,Robina Gureme Rwakoojo,Robina Gureme Rwakoojo,yes
Q105966644,Sarah Kayaki Netalisile,Ugandan politician and Teacher,Parliament,Member of Parliament of Uganda,5,18,Sarah Kayaki Netalisile,Sarah Kayaki Netalisile,yes
Q7422653,Sarah Opendi Achieng,politician accountant,Parliament,Member of Parliament of Uganda,5,18,Sarah Achieng Opendi,Sarah Achieng Opendi,yes
Q57825185,Sheila Mwine Kabaije,Ugandan politician,Parliament,Member of Parliament of Uganda,4,18,Sheila Mwine Kabaije,Sheila Mwine Kabaije,yes
Q54233867,Victoria Mwaka,"Ugandan geography professor, politician and women's-rights activist",Parliament,Member of Parliament of Uganda; lecturer; professor,5,18,Victoria Mwaka,Victoria Mwaka,yes
Q106139107,Aber Lillian,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,17,Lillian Aber,Lilian Aber,yes
Q4693003,Agnes Akiror,Ugandan politician,Parliament,Member of Parliament of Uganda,7,17,Agnes Akiror,Agnes Akiror,yes
Q62129153,Agnes Kunihira,Ugandan Workers Representative,Parliament,Member of Parliament of Uganda,3,17,Agnes Kunihira,Agnes Kunihira,yes
Q19668599,Beti Kamya-Turwomwe,Ugandan politician,Parliament,Member of Parliament of Uganda,9,17,Beti Kamya,Beti Kamya,yes
Q42122025,Doreen Amule,Ugandan politician,Parliament,Member of Parliament of Uganda,5,17,Doreen Amule,Doreen Amule,yes
Q24572620,Florence Nakiwala Kiyingi,Ugandan businesswoman and politician,Parliament,Member of Parliament of Uganda,7,17,Florence Nakiwala Kiyingi,Florence Nakiwala Kiyingi,yes
Q96678402,Joyce Bagala,Ugandan Journalist and politician,Parliament,member of parliament,6,17,Joyce Bagala,Joyce Bagala,yes
Q105966150,Judith Peace Achan,Ugandan politician,Parliament,Member of Parliament of Uganda,8,17,Judith Peace Achan,Judith Peace Achan,yes
Q44231567,Lillian Nakate,Ugandan politician,Parliament,Member of Parliament of Uganda,7,17,Lillian Nakate,Lillian Nakate,yes
Q57828013,Lilly Adong,Ugandan politician,Parliament,Member of Parliament of Uganda,8,17,Lilly Adong,Lilly Adong,yes
Q62129230,Margaret Mbeiza Kisira,Ugandan politician,Parliament,Member of Parliament of Uganda,5,17,Margaret Mbeiza Kisira,Margaret Mbeiza Kisira,yes
Q30070354,Mariam Naigaga,Ugandan politician,Parliament,Member of Parliament of Uganda,5,17,Mariam Naigaga,Mariam Naigaga,yes
