qitem,label,statements,occupation_names,description
Q139554794,Amaniyo Draville Sheilah,13,"politician, legislator",Ugandan politician
Q105836109,Hellen Auma Wandera,13,politician,Ugandan politician
Q137999857,Joyo Harriet,13,"politician, legislator",Ugandan politician
Q111439050,Kabaale Kwagala Olivia,13,politician,Ugandan politician
Q138028929,Kanyesigye Mercy,13,"politician, legislator",Ugandan politician
Q138132307,Kibaaju Charity Kamuhanda,13,"politician, legislator",Ugandan politician
Q105760683,Koyeekyenga Katwesigye Oliva,13,politician,Ugandan politician
Q139554918,Kyarampe Rebecca,13,"politician, legislator",Ugandan politician
Q137989675,Nabawanuka Sumayah,13,"politician, legislator",Ugandan politician
Q137991018,Nabirye Annet,13,"politician, legislator",Ugandan politician
Q138003607,Ninsiima Evelyne,13,"politician, legislator",Ugandan politician
Q137993723,Sarah Ithungu Masereka Baleke,13,politician,Ugandan politician
Q111020276,Shamim Nambasa,13,"politician, pharmacist, activist",Ugandan Politician
Q136682547,Achayo Juliet Lodou,12,"politician, legislator",Ugandan politician
Q137996833,Diana Jane Mugenyi,12,politician,Ugandan politician
Q141265972,Kedrace R. Turyagyenda,12,"secretary, civil servant, educator",Ugandan secretary
Q137991609,Muhooza Desire,12,"politician, legislator",Ugandan politician
Q136773966,Patricia Aceng,12,"politician, journalist",Ugandan journalist and politician
Q137988579,Rose Kirabira,12,politician,Ugandan politician
Q110880206,Ruth Kavuma,12,"teacher, politician","First black & former headteacher of Gayaza High School & former Member of Parliament for Kalangala District, Deputy chairperson at NIRA"
Q105883360,Annet Musika,11,politician,Ugandan politician
Q105839468,Asha Aisha Kabanda Nalule,11,politician,Ugandan politician
Q140734638,Jemimah Buhanda Tumwijukye,11,"teacher, politician",Politician
Q111291998,Kayagi Sarah Netalisire,11,politician,Ugandan politician and member of the parliament
Q139658933,Kobusingye Anne,11,"politician, human rights defender","Ugandan politician, human rights defender and disability rights advocate"
Q137999672,Loyda Kyarikunda Twinomujuni,11,"politician, nurse",Ugandan Politician
Q137993222,Nanzala Metrine,11,"politician, legislator",Ugandan politician
Q136682581,Waako Joy Peggy,11,"politician, legislator",Ugandan politician
Q138000550,Aceng Sandra Odongo,10,politician,Ugandan politician
Q133571487,Betty Grace Akech Okullo,10,"teacher, politician, diplomat","Ugandan politician, diplomat and Uganda Ambassador to Japan"
Q141164106,Catherine Bitarakwate,10,civil servant,"Ugandan public administrator and Permanent Secretary, Ministry of Public Service"
Q141173520,Dorcas Wagima Okalany,10,"civil servant, accountant",Ugandan civil servant
Q133878843,Eseza Makumbi,10,"politician, activist",Ugandan politician and women's rights advocate active in the 1950s and 1960s
Q105956780,Harriet Nakiyemba Ssebuwufu,10,politician,Ugandan politician
Q140007674,Laura Kanusu,10,"lawyer, politician, human rights defender",Ugandan politician
Q138819084,Lilian Nakate,10,"politician, civil engineer",Ugandan politician
Q137604050,Mary Flavia Namulindwa,10,"actor, politician, television presenter","actress, media personality, politician"
Q140073040,Mercy Walukamba,10,politician,Ugandan politician
Q140930658,Mwesigwa Mathias,10,"politician, legislator",Ugandan politician
Q137972385,Phiona Oriziru,10,politician,Ugandan politician
Q136786866,Shifrah Lukwago,10,"lawyer, politician, human rights defender","Ugandan lawyer, politician, and human rights defender"
Q111082677,Wabwire Rose Munyira,10,politician,Ugandan politician
Q137994461,Winfred Nakandi,10,politician,Ugandan politician
Q105883414,ibyaze Peace,10,politician,Ugandan politician
Q136761900,Annet Musibikha,9,"lawyer, politician, accountant","Ugandan politician, lawyer and accountant"
Q137994155,Atukunda Rebecca,9,politician,Ugandan politician
Q136682647,Beatrice Akello,9,"politician, environmentalist",Ugandan Environmental activist
Q137996811,Benedetta Chandia Kodili,9,politician,Ugandan politician
Q138161336,Betty Aciro,9,"politician, researcher",Ugandan Politician
Q141169247,Doreen Katusiime,9,"teacher, civil servant",Ugandan civil servant
Q138001782,Harriet Anyimo,9,politician,Ugandan politician
Q138001597,Harriet Nalweende,9,politician,Woman Member of Parliament Kayunga District
Q138161337,Janet Chebet,9,politician,Ugandan Politician
Q116603665,Judith Atek Ilwak,9,politician,Uganda politician
Q137999784,Kayaga Kyambadde Juliet,9,politician,Ugandan politician
Q138329591,Lydia Mirembe Delphine,9,politician,Ugandan politician
Q137996713,Maureen Nakuya,9,politician,Ugandan politician
Q136682582,Midius Natukunda,9,politician,"Member of Parliament for DWR, Rukungiri and member of the Committee on National Economy"
Q140930656,Mukalazi Amina,9,"politician, legislator",Ugandan politician
Q140930657,Mulondo Cissy,9,"politician, legislator",Ugandan politician
Q138161339,Prossy Namusisi,9,politician,Ugandan Politician
Q138161331,Prossy Nanyonga,9,politician,Ugandan Politician
