qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q5724541,Henry Kyemba,Henry Kyemba,11,5632,98.1,human,2,birth_death_wd|citizenship_wd
Q96758100,Salma Lakhani,Salma Lakhani,9,20463,98.1,human,2,birth_death_wd|citizenship_wd
Q5158982,Islamic University in Uganda,Islamic University in Uganda,14,2570,98.0,Islamic university,2,country_wd|keyword_title
Q488982,Nalubaale Hydroelectric Power Station,Nalubaale Hydroelectric Power Station,13,2890,98.0,"dam, hydroelectric power station",1,country_wd
Q1793381,"Shriti Vadera, Baroness Vadera","Shriti Vadera, Baroness Vadera",11,5044,98.0,human,1,birth_death_wd
Q2795682,Rwenzururu Kingdom,Rwenzururu,11,4816,98.0,"region, realm, historical country",1,country_wd
Q954747,East African Airways,East African Airways,11,4882,98.0,airline,1,country_wd
Q16960307,Allied Democratic Forces insurgency,Allied Democratic Forces insurgency,9,17292,98.0,rebellion,1,country_wd
Q87019,Brigitte Kuhlmann,Brigitte Kuhlmann,9,16470,98.0,human,1,birth_death_wd
Q407874,,Air Uganda,18,1652,97.9,airline,2,country_wd|keyword_title
Q1429741,Semuliki National Park,Semuliki National Park,16,1828,97.9,national park of Uganda,1,country_wd
Q706635,James Hannington,James Hannington,12,3122,97.9,human,1,birth_death_wd
Q1723759,Church of Uganda,Church of Uganda,10,6392,97.9,Anglican province,2,country_wd|keyword_title
Q4157645,Democratic Party,Democratic Party (Uganda),10,6029,97.9,political party,2,country_wd|keyword_title
Q5003686,Bwindi Impenetrable Forest,Bwindi Impenetrable Forest,10,6075,97.9,forest,1,country_wd
Q17061030,Jumià,Jumia,9,15391,97.9,"e-commerce, public company, business",1,country_wd
Q2512714,Marcel Theroux,Marcel Theroux,8,112160,97.9,human,1,birth_death_wd
Q116783438,Uganda at the 2024 Summer Olympics,Uganda at the 2024 Summer Olympics,23,1138,97.8,Olympic delegation,2,country_wd|keyword_title
Q838875,Mount Speke,Mount Speke,17,1629,97.8,mountain,1,country_wd
Q581297,Eagle Air,Eagle Air (Uganda),14,1972,97.8,airline,2,country_wd|keyword_title
Q1175948,David Obua,David Obua,13,2332,97.8,human,2,birth_death_wd|citizenship_wd
Q24572619,Betty Amongi,Betty Amongi,12,2739,97.8,human,2,birth_death_wd|citizenship_wd
Q960312,Express F.C.,Express FC,12,2692,97.8,association football club,1,country_wd
Q22276503,2016 Ugandan general election,2016 Ugandan general election,10,5188,97.8,Ugandan general election,3,country_wd|keyword_title|part_of_wd
Q721339,Ayub Kalule,Ayub Kalule,10,5237,97.8,human,2,birth_death_wd|citizenship_wd
Q20684444,Aamito Lagum,Aamito Lagum,9,9343,97.8,human,2,birth_death_wd|citizenship_wd
Q24872105,Sheebah Karungi,Sheebah Karungi,9,10186,97.8,human,3,birth_death_wd|citizenship_wd|language_wd
Q1430399,ISO 3166-2:UG,ISO 3166-2:UG,21,1082,97.7,data set of a specific country,1,country_wd
Q5617915,Gulu Airport,Gulu Airport,13,1997,97.7,"international airport, airport, commercial traffic aerodrome",1,country_wd
Q1353883,Majid Musisi,Majid Musisi,11,2914,97.7,human,2,birth_death_wd|citizenship_wd
Q4867416,Basilica of the Uganda Martyrs,"Basilica of the Uganda Martyrs, Namugongo",11,2985,97.7,minor basilica,2,country_wd|keyword_title
Q486865,,Uganda Airlines (1976–2001),11,2887,97.7,airline,2,country_wd|keyword_title
Q5345394,Edward Ssekandi,Edward Ssekandi,10,4031,97.7,human,2,birth_death_wd|citizenship_wd
Q2614835,Karamoja,Karamoja,9,6956,97.7,sub-region of Uganda,2,country_wd|keyword_title
Q105903578,Helen Nakimuli,Helen Nakimuli,8,24501,97.7,human,2,birth_death_wd|citizenship_wd
Q29043485,Uganda People's Defence Air Force,Uganda Air Force,8,23500,97.7,air force,2,country_wd|keyword_title
Q1186289,1st parallel north,1st parallel north,21,1067,97.6,circle of latitude,1,country_wd
Q460865,Kasha Nabagesera,Kasha Nabagesera,20,1033,97.6,human,2,birth_death_wd|citizenship_wd
Q1315903,35th meridian east,35th meridian east,19,1124,97.6,meridian,1,country_wd
Q932175,Mount Gahinga,Mount Gahinga,18,1167,97.6,"volcano, mountain, summit",1,country_wd
Q1406553,Lagos–Mombasa Highway,Lagos–Mombasa Highway,13,1897,97.6,"road, highway",1,country_wd
Q3346711,Nyoro people,Nyoro people,13,1743,97.6,ethnic group,1,country_wd
Q4793893,Maggie Kigozi,Maggie Kigozi,12,2154,97.6,human,3,birth_death_wd|citizenship_wd|language_wd
