qitem,label,latitude,longitude,sitelink_count
Q121464049,Speke Monument,0.422159813,33.193980724,1
Q121464134,Aga Khan Mosque,0.316643852,32.579406162,5
Q121464667,Igenge palace,0.4831,33.2323,1
Q121464670,Kyabazingas palace at Wanyange,0.483274868,33.232380766,1
Q121494555,Kisingiri's House,0.30905016,32.560377421,1
Q121494558,Mapeera Bakateyamba House Nalukolongo,0.294118621,32.549925536,1
Q121494560,Corner House,0.318038888,32.570361111,1
Q121494741,Source of the Nile,0.416638452,33.19507482,1
Q121494746,Nyero Rock Paintings,1.471598453,33.846248381,1
Q121501035,Kololo Ceremonial Grounds,0.327418021,32.594944127,1
Q121501036,St. Matia Mulumba,0.319627992,32.58411694,1
Q121501038,Tulifanya Gallery,0.318988058,32.590261069,1
Q121501039,Wamala Tombs,0.391310542,32.525429195,3
Q121501040,Government Analytical Laboratory,0.332109999,32.576763497,1
Q121501041,St Peter's Boys Nsambya,0.301354433,32.587418341,1
Q121501044,"Omuti gwe Ddembe, Entebbe",0.068858871,32.475647941,1
Q121501050,Jinja African Commonwealth war Cemetery,0.431799178,33.202709865,1
Q121501053,Olum Foot Prints Site,1.9085685,32.3743758,1
Q121501187,Kigulu Hills,1.220007252,33.331480933,1
Q121538523,Miriadua waterfalls,3.18395,30.94462,3
Q121538562,Amuru Hot Springs,2.7964703,31.8918615,1
Q121538610,Kiweewa's Tombs,0.332273513,32.533042781,1
Q121541336,Lokodi Memorial Massacre Site,2.9144592,32.2988395,1
Q122143012,St. Balikudembe market,0.310422781,32.573302996,1
Q122143016,Musa Body Metal Works,0.295717189,32.57359498,1
Q122143017,Butikkiro,0.304283284,32.564953015,2
Q122143019,Kampala Club,0.318260425,32.583445575,1
Q122143020,Clock Tower,0.307285115,32.577975728,1
Q122143024,Port Bell Pier,0.288591666,32.653502777,1
Q122143042,Wakyato War Memorial,0.865717,32.2144333,1
Q122143043,Kikamulo War Memorial,0.816486,32.3702996,1
Q122143044,Nakaseke War Memorial,0.719215,32.3965826,1
Q122143046,Semuto War Memorial,0.6189627,32.3277646,1
Q122143094,Tororo Mines,0.672965514,34.185863862,1
Q122143267,Butuntumula War Memorial,0.88283,32.49496,1
Q122143307,Entebbe za Mugula,0.019693503,32.442877424,1
Q122143315,Mukura Memorial,1.579156742,33.859357499,1
Q122143334,Aboke Girls Memorial School,2.393122642,32.654596219,1
Q122143447,Katoosa martyrs shrine,0.63228,30.64764,2
Q122202529,Itambira Island,-1.298,29.94,1
Q122202599,Akampene Island,-1.29433,29.91719,1
Q122202786,Bushara Island,-1.289,29.925,1
Q122699222,Uganda Reinsurance Company,0.333055555,32.600694444,1
Q122782439,Heritage Hot Springs,2.47839,31.53903,1
Q122811671,Barlonyo Memorial Site,2.476111111,32.993055555,2
Q122933018,Amansi and Mapeera monument,0.02765,32.43599,1
Q122936977,Kigungu landing site,0.0267623,32.4372192,1
Q1229734,Adjumani District,3.25,31.783333333,20
Q1229750,Apac District,2.083333333,32.583333333,19
Q1229758,Arua District,2.916666666,31.083333333,19
Q1229793,Buliisa District,2.0,31.416666666,21
Q1229797,Bushenyi District,-0.416666666,30.166666666,19
Q1229798,Bugiri District,0.5637032,33.7617615,22
Q1229800,Busia District,0.43333333,33.96666667,22
Q1229869,Iganga District,0.7,33.466666666,22
Q1229881,Kaabong District,3.516666666,34.116666666,20
Q1229906,Kaberamaido District,1.766666666,33.233333333,20
Q1229910,Kabarole District,0.583333333,30.25,20
Q1229919,Kasese District,0.15,30.05,18
Q1229921,Kapchorwa District,1.333333333,34.566666666,20
Q1229930,Katakwi District,1.916666666,34.033333333,22
Q1230005,Mityana District,0.45,32.05,22
Q1230035,Pader District,2.833333333,33.083333333,21
Q123055167,Virika Cathedral of Our Lady of Snows,0.63656,30.26844,1
Q123055172,Former Cathedral of St. Peter,0.29956,32.58806,1
Q123055174,Immaculate Heart of Mary Cathedral,2.47869,31.08319,1
Q123055176,Immaculate Conception Cathedral,1.70631,33.61194,1
Q123055181,Regina Mundi Cathedral,2.52369,34.65619,1
Q123055183,Our Lady of Perpetual Help Cathedral,-0.62381,30.64256,1
Q123055190,Cathedral of the Uganda Martyrs,0.70669,34.19969,1
Q123055201,Cathedral of the Holy Martyrs of Uganda,2.25244,32.89806,1
Q123055202,Good Shepherd Cathedral,3.01344,34.11744,1
Q123055208,Our Lady Mary of Assumption Cathedral,0.17644,30.07219,1
Q123055209,Our Lady Queen of Peace Cathedral,0.82831,32.50231,1
Q1232016,Kasese,0.23,29.988333333,27
Q123254196,Ateker Community Museum,2.541536,34.6550633,2
Q123459616,Young African Refugees for Integral Development,0.297508168,32.589887936,3
Q123496224,Ayilo 1 Refugee Settlement,3.284792567,31.950337397,1
Q123717333,Hoima Sports Stadium,1.416944444,31.383055555,3
Q124000128,St. Daniel Comboni Hospital Kyamuhunga,-0.457891666,30.130025,1
Q124005374,Uganda Ministry of Education Complex,0.357777777,32.627222222,1
Q124053979,Ituka Solar Power Station,3.060555555,30.941944444,1
